,Date,Close,High,Low,Open,Volume
0,2007-10-05,30.896240234375,33.62960604727621,25.53700130653391,27.579347988281896,855215656
1,2007-10-08,29.31456184387207,31.940433775310073,29.1302893255024,31.940433775310073,126671715
2,2007-10-09,31.31084442138672,31.58725116900844,27.74825699210877,29.329921759876378,116725709
3,2007-10-10,31.602617263793945,32.247569316618566,31.326210431319556,32.1247202155724,67931378
4,2007-10-11,35.134483337402344,36.854353617199706,31.326201824292376,36.854353617199706,106320954
5,2007-10-12,34.90414810180664,36.20940632940032,34.0902820400693,34.397401623032515,99410791
6,2007-10-15,35.36482238769531,35.84086017213798,35.05770284892276,35.62587482876705,41814972
7,2007-10-16,38.97347640991211,39.58771964423249,35.165195016807544,35.41088897807548,138614496
8,2007-10-17,42.01397705078125,42.9967573869974,32.58540047308787,35.01164684805493,204876259
9,2007-10-18,40.539798736572266,45.89903784654958,38.80457369248591,42.68963610655662,146617799
10,2007-10-19,40.40158462524414,42.0446749285371,38.38994922315784,39.61842733170208,110266491
11,2007-10-22,39.8641242980957,41.1079566807392,38.543507870317065,39.58771756479438,72253405
12,2007-10-23,42.70499038696289,43.088889879559666,40.84691434344885,40.84691434344885,74594921
13,2007-10-24,42.04468536376953,44.07167557906907,41.56864747921385,43.610992008450964,63055170
14,2007-10-25,41.95254898071289,42.93533342448828,37.053989407657326,40.61657780937261,34522489
15,2007-10-26,43.21174240112305,43.90276157602293,41.537938733468245,42.68963735830138,62370025
16,2007-10-29,44.08702087402344,45.1465849550928,43.70312144835705,43.91810679296037,43657697
17,2007-10-30,45.0698127746582,46.28293266780199,43.36529653396666,44.68591328336408,79921711
18,2007-10-31,46.00653076171875,47.02002802590462,45.146597475963944,45.30015728881848,44655368
19,2007-11-01,44.97766876220703,47.496050775802026,44.609127796084344,47.14286412117695,50632492
20,2007-11-02,45.791526794433594,46.067937677981,42.9967385003224,43.349929259171894,32001693
21,2007-11-05,46.72825622558594,47.7571076619388,45.4844194148635,45.76083037207467,38833135
22,2007-11-06,47.342491149902344,50.336906816404685,46.69753925015596,47.54211802788739,81880281
23,2007-11-07,46.65146255493164,48.89343318301811,45.60725711398143,48.21777279914431,33593141
24,2007-11-08,45.85296630859375,47.09680316618649,44.8394733125488,45.45371250180661,27990521
25,2007-11-12,46.958595275878906,47.787819805112,43.25780185091003,44.4709258537555,35153735
26,2007-11-13,48.0795783996582,49.047004189621056,46.2368610223668,47.75710452486248,43830531
27,2007-11-14,47.44998550415039,49.599822468888014,47.204287351692095,48.92415775659733,36738579
28,2007-11-15,48.248504638671875,49.09308357628662,47.342500112090974,48.34063885654476,29242252
29,2007-11-16,47.91066360473633,49.00093637077168,47.35784590029854,48.03351059497508,18895294
30,2007-11-19,49.64588928222656,51.44253956828878,48.63239638525592,49.00093736343811,40716718
31,2007-11-20,48.878089904785156,50.828299954560364,48.279205093281334,49.44626192700598,26342171
32,2007-11-21,45.0698127746582,49.46162128883253,43.97953572003725,49.16986017479464,26814499
33,2007-11-22,43.518856048583984,46.40578353687611,41.630071396767015,44.59377461724457,34096185
34,2007-11-23,46.4057731628418,46.68217989987701,43.795253056958856,46.375060377487856,27664090
35,2007-11-26,46.77431869506836,48.12564389349702,46.40577773126537,48.12564389349702,20159123
36,2007-11-27,45.622615814208984,47.572825611622775,45.14658222143697,47.572825611622775,20573198
37,2007-11-28,44.94696044921875,46.83574923027845,44.63984086408072,46.62076385445144,16435311
38,2007-11-29,43.733829498291016,46.313632526210604,43.1656575767339,46.067938586627754,25530967
39,2007-11-30,45.42299270629883,45.69939946573559,43.91810775774273,44.5323468523024,18437721
40,2007-12-03,46.06794357299805,46.6361155560538,45.6226185730306,45.97580521150028,16851227
41,2007-12-04,45.469058990478516,46.75896273216917,45.1312266614095,46.375063304948775,14008727
42,2007-12-05,47.281070709228516,47.449988982471595,45.45371165459242,45.54584586503335,27725290
43,2007-12-06,46.4057731628418,49.03164341303903,45.80688842795289,48.30991170230949,24104710
44,2007-12-07,46.20615005493164,47.357848461151725,45.37692970179868,46.697542208034044,11742386
45,2007-12-10,46.25222396850586,46.820391882270265,45.65333909679474,46.65147777259589,8330010
46,2007-12-11,46.03721237182617,46.92785784994451,45.806872808576244,46.66680551181318,11685950
47,2007-12-12,46.00653076171875,46.42114308954131,45.146597475963944,45.45371710167302,16342131
48,2007-12-13,45.23871994018555,46.68218347210167,45.069805856175876,46.06794438032041,14620172
49,2007-12-14,44.79340744018555,45.49978509232279,44.563067716449254,45.08517275648215,10991851
50,2007-12-17,42.09075164794922,45.3001531065355,41.46115397402656,45.05445492930612,19355678
51,2007-12-18,41.90646743774414,43.30385955204663,40.60120951087314,41.614702234919456,21607783
52,2007-12-19,41.13867950439453,43.62634904230106,40.785492805348014,43.257803864249695,19526912
53,2007-12-20,40.724063873291016,42.01396772487502,40.53979129941105,41.67613536702438,17105204
54,2007-12-24,41.9678955078125,42.62820166529412,41.00046565424558,41.33829797092171,16711519
55,2007-12-26,43.24243927001953,43.76454412053359,42.198233734566486,42.198233734566486,20930094
56,2007-12-27,43.54956817626953,44.747333729956246,43.18102300640778,44.133094557237314,44565277
57,2007-12-28,43.88739776611328,44.071670339336904,42.996747689795086,43.45742704006627,18354518
58,2007-12-31,44.20985794067383,44.47091032468695,43.67239886529511,44.22521641360074,11982308
